Leitura,Data,Hora,Temperatura(C),Umidade(%)
428,2025-10-05,13:56:13,33.10,33.80
429,2025-10-05,13:56:33,33.30,33.20
430,2025-10-05,13:56:53,33.50,33.10
431,2025-10-05,13:57:13,33.60,32.70
432,2025-10-05,13:57:33,33.70,33.20
433,2025-10-05,13:57:53,33.70,33.60
434,2025-10-05,13:58:13,33.70,34.10
435,2025-10-05,13:58:33,33.70,33.00
436,2025-10-05,13:58:53,33.70,32.30
437,2025-10-05,13:59:13,33.70,33.00
438,2025-10-05,13:59:33,33.70,33.40
439,2025-10-05,13:59:53,33.60,33.90
440,2025-10-05,14:00:13,33.60,34.30
441,2025-10-05,14:00:33,33.50,34.20
442,2025-10-05,14:00:53,33.50,34.10
443,2025-10-05,14:01:13,33.40,34.20
444,2025-10-05,14:01:33,33.40,33.90
445,2025-10-05,14:01:53,33.40,34.40
446,2025-10-05,14:02:13,33.30,34.90
447,2025-10-05,14:02:33,33.20,35.20
448,2025-10-05,14:02:53,33.20,34.90
449,2025-10-05,14:03:13,33.20,33.50
450,2025-10-05,14:03:33,33.10,33.60
451,2025-10-05,14:03:53,33.10,33.80
452,2025-10-05,14:04:13,33.10,33.40
453,2025-10-05,14:04:33,33.00,32.80
454,2025-10-05,14:04:53,32.90,33.00
455,2025-10-05,14:05:13,32.90,32.80
456,2025-10-05,14:05:33,32.80,32.60
457,2025-10-05,14:05:53,32.80,32.90
458,2025-10-05,14:06:13,32.90,34.00
459,2025-10-05,14:06:33,32.90,34.50
460,2025-10-05,14:06:53,32.80,34.70
461,2025-10-05,14:07:13,32.80,34.30
462,2025-10-05,14:07:33,32.80,34.50
463,2025-10-05,14:07:53,32.70,35.50
464,2025-10-05,14:08:13,32.60,36.40
465,2025-10-05,14:08:33,32.60,36.90
466,2025-10-05,14:08:53,32.50,36.80
467,2025-10-05,14:09:13,32.40,36.20
468,2025-10-05,14:09:33,32.30,36.30
469,2025-10-05,14:09:53,32.30,36.10
470,2025-10-05,14:10:13,32.20,36.30
471,2025-10-05,14:10:33,32.20,36.50
472,2025-10-05,14:10:53,32.20,36.90
473,2025-10-05,14:11:13,32.20,36.60
474,2025-10-05,14:11:33,32.20,36.70
475,2025-10-05,14:11:53,32.20,36.40
476,2025-10-05,14:12:13,32.20,36.10
477,2025-10-05,14:12:33,32.20,35.60
478,2025-10-05,14:12:53,32.20,35.30
479,2025-10-05,14:13:13,32.20,35.30
480,2025-10-05,14:13:33,32.20,35.20
481,2025-10-05,14:13:53,32.20,34.10
482,2025-10-05,14:14:13,32.10,34.40
483,2025-10-05,14:14:33,32.10,34.60
484,2025-10-05,14:14:53,32.00,34.80
485,2025-10-05,14:15:13,32.00,35.10
486,2025-10-05,14:15:33,31.90,35.50
487,2025-10-05,14:15:53,31.90,35.60
488,2025-10-05,14:16:13,31.90,35.20
489,2025-10-05,14:16:33,31.80,34.70
490,2025-10-05,14:16:53,31.80,34.10
491,2025-10-05,14:17:13,31.80,34.00
492,2025-10-05,14:17:33,31.70,34.60
493,2025-10-05,14:17:53,31.70,34.60
494,2025-10-05,14:18:13,31.70,34.40
495,2025-10-05,14:18:33,31.60,34.70
496,2025-10-05,14:18:53,31.60,34.60
497,2025-10-05,14:19:13,31.60,35.00
498,2025-10-05,14:19:33,31.50,35.50
499,2025-10-05,14:19:53,31.50,35.50
500,2025-10-05,14:20:13,31.50,36.10
501,2025-10-05,14:20:33,31.40,36.10
502,2025-10-05,14:20:53,31.40,36.20
503,2025-10-05,14:21:13,31.40,35.80
504,2025-10-05,14:21:33,31.30,35.80
505,2025-10-05,14:21:53,31.30,36.40
506,2025-10-05,14:22:13,31.30,36.40
507,2025-10-05,14:22:32,31.30,36.50
508,2025-10-05,14:22:52,31.30,36.80
509,2025-10-05,14:23:12,31.30,36.70
510,2025-10-05,14:23:32,31.30,37.20
511,2025-10-05,14:23:52,31.30,37.80
512,2025-10-05,14:24:12,31.30,37.20
513,2025-10-05,14:24:32,31.30,38.40
514,2025-10-05,14:24:52,31.50,37.70
515,2025-10-05,14:25:12,31.50,35.40
516,2025-10-05,14:25:32,31.60,34.90
517,2025-10-05,14:25:52,31.60,35.20
518,2025-10-05,14:26:12,31.60,35.70
519,2025-10-05,14:26:32,31.60,36.00
520,2025-10-05,14:26:52,31.60,35.30
521,2025-10-05,14:27:12,31.60,35.40
522,2025-10-05,14:27:32,31.70,36.30
523,2025-10-05,14:27:52,31.70,36.00
524,2025-10-05,14:28:12,31.60,36.20
525,2025-10-05,14:28:32,31.60,35.40
526,2025-10-05,14:28:52,31.70,34.90
527,2025-10-05,14:29:12,31.70,34.50
528,2025-10-05,14:29:32,31.70,34.40
529,2025-10-05,14:29:52,31.70,34.30
530,2025-10-05,14:30:12,31.70,34.80
531,2025-10-05,14:30:32,31.70,35.30
532,2025-10-05,14:30:52,31.70,35.30
533,2025-10-05,14:31:12,31.60,35.40
534,2025-10-05,14:31:32,31.60,35.40
535,2025-10-05,14:31:52,31.60,35.00
536,2025-10-05,14:32:12,31.70,35.80
537,2025-10-05,14:32:32,31.70,35.60
538,2025-10-05,14:32:52,31.70,35.30
539,2025-10-05,14:33:12,31.70,35.20
540,2025-10-05,14:33:32,31.80,35.80
541,2025-10-05,14:33:52,31.80,34.90
542,2025-10-05,14:34:12,31.80,33.80
543,2025-10-05,14:34:32,31.70,33.60
544,2025-10-05,14:34:52,31.70,33.90
545,2025-10-05,14:35:12,31.70,34.00
546,2025-10-05,14:35:32,31.60,34.20
547,2025-10-05,14:35:52,31.60,34.20
548,2025-10-05,14:36:12,31.60,34.20
549,2025-10-05,14:36:32,31.60,34.10
550,2025-10-05,14:36:52,31.60,34.00
