[2025-10-04 14:38:55] Dispositivo: Pico W_11f0bb, Leitura: 48, Horario: 2025-10-04 14:38:55, Temp: 27.8, Umid: 47.0
[2025-10-04 14:39:19] Dispositivo: Pico W_11f0bb, Leitura: 49, Horario: 2025-10-04 14:39:18, Temp: 27.7, Umid: 46.9
[2025-10-04 14:39:40] Dispositivo: Pico W_11f0bb, Leitura: 50, Horario: 2025-10-04 14:39:40, Temp: 27.7, Umid: 46.9
[2025-10-04 14:40:03] Dispositivo: Pico W_11f0bb, Leitura: 51, Horario: 2025-10-04 14:40:02, Temp: 27.7, Umid: 46.6
[2025-10-04 14:40:24] Dispositivo: Pico W_11f0bb, Leitura: 52, Horario: 2025-10-04 14:40:25, Temp: 27.7, Umid: 46.5
[2025-10-04 14:40:47] Dispositivo: Pico W_11f0bb, Leitura: 53, Horario: 2025-10-04 14:40:47, Temp: 27.7, Umid: 46.4
[2025-10-04 14:41:09] Dispositivo: Pico W_11f0bb, Leitura: 54, Horario: 2025-10-04 14:41:09, Temp: 27.7, Umid: 46.5
[2025-10-04 14:41:31] Dispositivo: Pico W_11f0bb, Leitura: 55, Horario: 2025-10-04 14:41:32, Temp: 27.7, Umid: 46.7
[2025-10-04 14:41:54] Dispositivo: Pico W_11f0bb, Leitura: 56, Horario: 2025-10-04 14:41:54, Temp: 27.7, Umid: 46.7
[2025-10-04 14:42:16] Dispositivo: Pico W_11f0bb, Leitura: 57, Horario: 2025-10-04 14:42:16, Temp: 27.7, Umid: 46.8
[2025-10-04 14:42:40] Dispositivo: Pico W_11f0bb, Leitura: 58, Horario: 2025-10-04 14:42:38, Temp: 27.7, Umid: 46.7
[2025-10-04 14:43:01] Dispositivo: Pico W_11f0bb, Leitura: 59, Horario: 2025-10-04 14:43:01, Temp: 27.7, Umid: 47.0
[2025-10-04 14:43:23] Dispositivo: Pico W_11f0bb, Leitura: 60, Horario: 2025-10-04 14:43:23, Temp: 27.7, Umid: 46.9
[2025-10-04 14:43:45] Dispositivo: Pico W_11f0bb, Leitura: 61, Horario: 2025-10-04 14:43:45, Temp: 27.7, Umid: 47.1
[2025-10-04 14:44:08] Dispositivo: Pico W_11f0bb, Leitura: 62, Horario: 2025-10-04 14:44:08, Temp: 27.7, Umid: 47.1
[2025-10-04 14:44:30] Dispositivo: Pico W_11f0bb, Leitura: 63, Horario: 2025-10-04 14:44:30, Temp: 27.7, Umid: 47.0
[2025-10-04 14:44:52] Dispositivo: Pico W_11f0bb, Leitura: 64, Horario: 2025-10-04 14:44:52, Temp: 27.7, Umid: 47.1
[2025-10-04 14:45:14] Dispositivo: Pico W_11f0bb, Leitura: 65, Horario: 2025-10-04 14:45:15, Temp: 27.8, Umid: 47.1
[2025-10-04 14:45:37] Dispositivo: Pico W_11f0bb, Leitura: 66, Horario: 2025-10-04 14:45:37, Temp: 27.8, Umid: 47.1
[2025-10-04 14:45:59] Dispositivo: Pico W_11f0bb, Leitura: 67, Horario: 2025-10-04 14:45:59, Temp: 27.8, Umid: 47.2
[2025-10-04 14:46:21] Dispositivo: Pico W_11f0bb, Leitura: 68, Horario: 2025-10-04 14:46:22, Temp: 27.8, Umid: 47.3
[2025-10-04 14:46:43] Dispositivo: Pico W_11f0bb, Leitura: 69, Horario: 2025-10-04 14:46:44, Temp: 27.8, Umid: 47.3
[2025-10-04 14:47:06] Dispositivo: Pico W_11f0bb, Leitura: 70, Horario: 2025-10-04 14:47:06, Temp: 27.8, Umid: 47.4
[2025-10-04 14:47:28] Dispositivo: Pico W_11f0bb, Leitura: 71, Horario: 2025-10-04 14:47:28, Temp: 27.8, Umid: 48.7
[2025-10-04 14:47:50] Dispositivo: Pico W_11f0bb, Leitura: 72, Horario: 2025-10-04 14:47:51, Temp: 27.8, Umid: 47.9
[2025-10-04 14:48:13] Dispositivo: Pico W_11f0bb, Leitura: 73, Horario: 2025-10-04 14:48:13, Temp: 27.8, Umid: 47.7
[2025-10-04 14:48:35] Dispositivo: Pico W_11f0bb, Leitura: 74, Horario: 2025-10-04 14:48:35, Temp: 27.8, Umid: 47.6
[2025-10-04 14:48:57] Dispositivo: Pico W_11f0bb, Leitura: 75, Horario: 2025-10-04 14:48:58, Temp: 27.8, Umid: 47.6
[2025-10-04 14:49:20] Dispositivo: Pico W_11f0bb, Leitura: 76, Horario: 2025-10-04 14:49:20, Temp: 27.9, Umid: 47.5
[2025-10-04 14:49:42] Dispositivo: Pico W_11f0bb, Leitura: 77, Horario: 2025-10-04 14:49:42, Temp: 27.8, Umid: 47.4
[2025-10-04 14:50:04] Dispositivo: Pico W_11f0bb, Leitura: 78, Horario: 2025-10-04 14:50:05, Temp: 27.8, Umid: 47.5
[2025-10-04 14:50:27] Dispositivo: Pico W_11f0bb, Leitura: 79, Horario: 2025-10-04 14:50:27, Temp: 27.8, Umid: 47.5
[2025-10-04 14:50:49] Dispositivo: Pico W_11f0bb, Leitura: 80, Horario: 2025-10-04 14:50:49, Temp: 27.8, Umid: 47.3
[2025-10-04 14:51:11] Dispositivo: Pico W_11f0bb, Leitura: 81, Horario: 2025-10-04 14:51:12, Temp: 27.8, Umid: 47.2
[2025-10-04 14:51:34] Dispositivo: Pico W_11f0bb, Leitura: 82, Horario: 2025-10-04 14:51:34, Temp: 27.8, Umid: 47.3
[2025-10-04 14:51:56] Dispositivo: Pico W_11f0bb, Leitura: 83, Horario: 2025-10-04 14:51:56, Temp: 27.8, Umid: 47.7
[2025-10-04 14:52:18] Dispositivo: Pico W_11f0bb, Leitura: 84, Horario: 2025-10-04 14:52:18, Temp: 27.8, Umid: 48.9
[2025-10-04 14:52:41] Dispositivo: Pico W_11f0bb, Leitura: 85, Horario: 2025-10-04 14:52:41, Temp: 27.8, Umid: 47.9
[2025-10-04 14:53:03] Dispositivo: Pico W_11f0bb, Leitura: 86, Horario: 2025-10-04 14:53:03, Temp: 27.8, Umid: 47.6
[2025-10-04 14:53:25] Dispositivo: Pico W_11f0bb, Leitura: 87, Horario: 2025-10-04 14:53:25, Temp: 27.6, Umid: 47.8
[2025-10-04 14:53:47] Dispositivo: Pico W_11f0bb, Leitura: 88, Horario: 2025-10-04 14:53:48, Temp: 27.6, Umid: 48.0
[2025-10-04 14:54:10] Dispositivo: Pico W_11f0bb, Leitura: 89, Horario: 2025-10-04 14:54:10, Temp: 27.5, Umid: 48.2
[2025-10-04 14:54:32] Dispositivo: Pico W_11f0bb, Leitura: 90, Horario: 2025-10-04 14:54:33, Temp: 27.4, Umid: 48.3
[2025-10-04 14:54:55] Dispositivo: Pico W_11f0bb, Leitura: 91, Horario: 2025-10-04 14:54:55, Temp: 27.3, Umid: 48.5
[2025-10-04 14:55:18] Dispositivo: Pico W_11f0bb, Leitura: 92, Horario: 2025-10-04 14:55:18, Temp: 27.3, Umid: 48.7
[2025-10-04 14:55:59] Dispositivo: Pico W_11f0bb, Leitura: 93, Horario: 2025-10-04 14:55:40, Temp: 27.2, Umid: 48.8
[2025-10-04 14:56:21] Dispositivo: Pico W_11f0bb, Leitura: 94, Horario: 2025-10-04 14:56:21, Temp: 27.2, Umid: 48.9
[2025-10-04 14:56:44] Dispositivo: Pico W_11f0bb, Leitura: 95, Horario: 2025-10-04 14:56:44, Temp: 27.2, Umid: 49.1
[2025-10-04 14:57:06] Dispositivo: Pico W_11f0bb, Leitura: 96, Horario: 2025-10-04 14:57:06, Temp: 27.1, Umid: 49.2
[2025-10-04 14:57:28] Dispositivo: Pico W_11f0bb, Leitura: 97, Horario: 2025-10-04 14:57:28, Temp: 27.1, Umid: 49.3
[2025-10-04 14:57:50] Dispositivo: Pico W_11f0bb, Leitura: 98, Horario: 2025-10-04 14:57:51, Temp: 27.1, Umid: 49.4
[2025-10-04 14:58:13] Dispositivo: Pico W_11f0bb, Leitura: 99, Horario: 2025-10-04 14:58:13, Temp: 27.1, Umid: 49.5
[2025-10-04 14:58:35] Dispositivo: Pico W_11f0bb, Leitura: 100, Horario: 2025-10-04 14:58:35, Temp: 27.1, Umid: 49.6
[2025-10-04 14:58:57] Dispositivo: Pico W_11f0bb, Leitura: 101, Horario: 2025-10-04 14:58:58, Temp: 27.1, Umid: 49.6
[2025-10-04 14:59:20] Dispositivo: Pico W_11f0bb, Leitura: 102, Horario: 2025-10-04 14:59:20, Temp: 27.1, Umid: 49.7
[2025-10-04 14:59:42] Dispositivo: Pico W_11f0bb, Leitura: 103, Horario: 2025-10-04 14:59:42, Temp: 27.1, Umid: 49.7
[2025-10-04 15:00:04] Dispositivo: Pico W_11f0bb, Leitura: 104, Horario: 2025-10-04 15:00:05, Temp: 27.1, Umid: 49.8
[2025-10-04 15:00:27] Dispositivo: Pico W_11f0bb, Leitura: 105, Horario: 2025-10-04 15:00:27, Temp: 27.1, Umid: 49.8
[2025-10-04 15:00:49] Dispositivo: Pico W_11f0bb, Leitura: 106, Horario: 2025-10-04 15:00:49, Temp: 27.1, Umid: 49.8
