Data;Hora (UTC);Temp. Ins. (C);Umi. Ins. (%)
26/06/2025;1500;24,2;69,6
26/06/2025;1600;25,6;63,5
26/06/2025;1700;26,9;58,7
26/06/2025;1800;27,7;54,2
26/06/2025;1900;28,1;51,5
26/06/2025;2000;27,3;51,8
26/06/2025;2100;24,7;59,5
26/06/2025;2200;23,0;67,5
26/06/2025;2300;22,4;70,3
27/06/2025;0000;20,9;73,2
27/06/2025;0100;20,2;76,6
27/06/2025;0200;19,6;79,0
27/06/2025;0300;19,7;79,8
27/06/2025;0400;19,5;79,8
27/06/2025;0500;19,1;79,8
27/06/2025;0600;18,9;80,3
27/06/2025;0700;18,6;81,0
27/06/2025;0800;18,8;81,4
27/06/2025;0900;18,8;81,8
27/06/2025;1000;19,6;80,9
27/06/2025;1100;18,8;82,3
27/06/2025;1200;18,5;84,8
27/06/2025;1300;19,2;87,1
27/06/2025;1400;20,5;88,7
27/06/2025;1500;21,9;88,2
27/06/2025;1600;23,6;83,2
27/06/2025;1700;25,3;73,7
27/06/2025;1800;25,3;67,7
27/06/2025;1900;25,2;65,6
27/06/2025;2000;24,9;64,3
27/06/2025;2100;22,7;70,1
27/06/2025;2200;21,3;76,1
27/06/2025;2300;19,9;80,3
28/06/2025;0000;20,5;82,6
28/06/2025;0100;20,5;83,9
28/06/2025;0200;19,1;85,6
28/06/2025;0300;18,3;87,7
28/06/2025;0400;17,8;89,5
28/06/2025;0500;17,6;91,0
28/06/2025;0600;17,6;92,2
28/06/2025;0700;17,0;93,4
28/06/2025;0800;16,6;94,5
28/06/2025;0900;16,0;95,5
28/06/2025;1000;15,1;96,3
28/06/2025;1100;15,3;97,0
28/06/2025;1200;16,7;97,6
28/06/2025;1300;18,7;97,0
28/06/2025;1400;20,9;96,6
28/06/2025;1500;23,5;95,5
28/06/2025;1600;25,4;89,7
28/06/2025;1700;27,0;78,4
28/06/2025;1800;28,2;61,4
28/06/2025;1900;28,5;51,0
28/06/2025;2000;27,7;48,2
28/06/2025;2100;25,5;50,2
28/06/2025;2200;24,0;54,1
28/06/2025;2300;22,3;57,3
29/06/2025;0000;20,8;62,9
29/06/2025;0100;20,4;66,0
29/06/2025;0200;20,0;66,5
29/06/2025;0300;19,3;67,9
29/06/2025;0400;18,5;70,0
29/06/2025;0500;17,9;72,4
29/06/2025;0600;17,1;74,9
29/06/2025;0700;17,2;76,9
29/06/2025;0800;17,1;78,3
29/06/2025;0900;17,5;79,3
29/06/2025;1000;17,0;80,2
29/06/2025;1100;17,4;81,1
29/06/2025;1200;19,4;79,8
29/06/2025;1300;21,5;75,6
29/06/2025;1400;23,6;69,0
29/06/2025;1500;25,7;61,6
29/06/2025;1600;27,6;53,6
29/06/2025;1700;28,4;49,0
29/06/2025;1800;29,0;46,8
29/06/2025;1900;28,4;46,9
29/06/2025;2000;28,0;47,4
29/06/2025;2100;25,1;51,5
29/06/2025;2200;21,2;60,7
29/06/2025;2300;20,0;68,1
30/06/2025;0000;20,2;71,6
30/06/2025;0100;19,6;72,8
30/06/2025;0200;16,9;75,3
30/06/2025;0300;16,6;79,6
30/06/2025;0400;16,2;81,7
30/06/2025;0500;16,0;83,3
30/06/2025;0600;15,6;84,5
30/06/2025;0700;14,9;85,8
30/06/2025;0800;15,0;86,9
30/06/2025;0900;14,2;87,7
30/06/2025;1000;13,8;88,6
30/06/2025;1100;15,7;89,0
30/06/2025;1200;18,8;87,9
30/06/2025;1300;21,6;83,4
30/06/2025;1400;24,0;73,0
30/06/2025;1500;26,1;60,4
30/06/2025;1600;27,7;50,0
30/06/2025;1700;28,7;43,4
30/06/2025;1800;28,0;41,6
30/06/2025;1900;27,8;42,3
30/06/2025;2000;25,8;49,4
30/06/2025;2100;23,0;64,6
30/06/2025;2200;21,3;72,5
30/06/2025;2300;20,0;77,1
01/07/2025;0000;18,6;81,0
01/07/2025;0100;17,4;84,1
01/07/2025;0200;16,7;86,6
01/07/2025;0300;16,1;88,6
01/07/2025;0400;15,5;90,2
01/07/2025;0500;15,1;91,4
01/07/2025;0600;14,8;92,6
01/07/2025;0700;14,3;93,6
01/07/2025;0800;14,0;94,4
01/07/2025;0900;13,7;95,2
01/07/2025;1000;13,5;95,9
01/07/2025;1100;13,7;96,5
01/07/2025;1200;15,0;96,5
01/07/2025;1300;16,5;96,4
01/07/2025;1400;19,1;95,5
01/07/2025;1500;21,1;92,7
01/07/2025;1600;22,6;88,5
01/07/2025;1700;23,2;82,8
01/07/2025;1800;23,2;75,5
01/07/2025;1900;22,8;70,6
01/07/2025;2000;21,1;69,9
01/07/2025;2100;19,0;73,0
01/07/2025;2200;17,4;76,6
01/07/2025;2300;16,1;79,7
02/07/2025;0000;14,9;82,3
02/07/2025;0100;14,1;84,3
02/07/2025;0200;13,6;85,9
02/07/2025;0300;13,0;87,3
02/07/2025;0400;12,4;88,5
02/07/2025;0500;11,9;89,6
02/07/2025;0600;11,6;90,6
02/07/2025;0700;11,4;91,5
02/07/2025;0800;11,1;92,4
02/07/2025;0900;10,8;93,2
02/07/2025;1000;10,8;94,0
02/07/2025;1100;11,1;94,6
02/07/2025;1200;12,3;94,7
02/07/2025;1300;14,2;94,6
02/07/2025;1400;17,3;93,5
02/07/2025;1500;19,5;90,7
02/07/2025;1600;21,2;86,0
02/07/2025;1700;22,2;79,0
02/07/2025;1800;23,2;69,9
02/07/2025;1900;23,1;63,8
02/07/2025;2000;21,6;63,1
02/07/2025;2100;18,2;68,3
02/07/2025;2200;15,5;74,3
02/07/2025;2300;13,9;78,5
03/07/2025;0000;12,7;81,6
03/07/2025;0100;11,8;84,0
03/07/2025;0200;11,0;85,8
03/07/2025;0300;10,4;87,4
03/07/2025;0400;10,0;88,8
03/07/2025;0500;9,8;90,0
03/07/2025;0600;9,7;91,1
03/07/2025;0700;9,5;92,0
03/07/2025;0800;9,4;92,9
03/07/2025;0900;9,6;93,7
03/07/2025;1000;9,7;94,4
03/07/2025;1100;10,1;94,9
03/07/2025;1200;10,8;95,4
03/07/2025;1300;12,3;95,6
03/07/2025;1400;14,6;95,0
03/07/2025;1500;16,7;93,2
03/07/2025;1600;18,8;89,9
03/07/2025;1700;20,4;84,9
03/07/2025;1800;20,8;78,5
03/07/2025;1900;19,8;72,9
03/07/2025;2000;18,0;71,9
03/07/2025;2100;15,7;75,4
03/07/2025;2200;14,2;79,5
03/07/2025;2300;13,2;82,6
04/07/2025;0000;12,9;84,9
04/07/2025;0100;12,4;86,5
04/07/2025;0200;11,5;87,8
04/07/2025;0300;11,1;89,1
04/07/2025;0400;10,8;90,3
04/07/2025;0500;10,4;91,3
04/07/2025;0600;10,0;92,3
04/07/2025;0700;9,9;93,2
04/07/2025;0800;9,6;93,9
04/07/2025;0900;9,6;94,7
04/07/2025;1000;9,8;95,4
04/07/2025;1100;10,3;96,0
04/07/2025;1200;11,9;95,8
04/07/2025;1300;14,2;95,5
04/07/2025;1400;16,5;94,9
04/07/2025;1500;19,0;92,0
04/07/2025;1600;20,6;87,8
04/07/2025;1700;21,8;81,5
04/07/2025;1800;22,2;73,3
04/07/2025;1900;21,7;66,8
04/07/2025;2000;22,0;63,8
04/07/2025;2100;19,7;64,9
04/07/2025;2200;18,2;69,0
04/07/2025;2300;16,4;72,2
05/07/2025;0000;15,4;76,2
05/07/2025;0100;15,0;79,0
05/07/2025;0200;14,1;81,3
05/07/2025;0300;13,1;83,7
05/07/2025;0400;12,4;85,9
05/07/2025;0500;12,2;87,8
05/07/2025;0600;11,6;89,2
05/07/2025;0700;11,2;90,5
05/07/2025;0800;10,6;91,4
05/07/2025;0900;10,2;92,3
05/07/2025;1000;9,6;93,1
05/07/2025;1100;9,9;93,4
05/07/2025;1200;12,8;93,1
05/07/2025;1300;16,0;92,9
05/07/2025;1400;17,8;91,7
05/07/2025;1500;20,0;88,7
05/07/2025;1600;21,9;82,9
05/07/2025;1700;22,2;71,5
05/07/2025;1800;22,5;60,7
05/07/2025;1900;22,0;57,6
05/07/2025;2000;22,1;56,1
05/07/2025;2100;19,1;61,6
05/07/2025;2200;16,1;69,2
05/07/2025;2300;16,9;72,1
06/07/2025;0000;16,6;72,5
06/07/2025;0100;15,7;72,4
06/07/2025;0200;14,1;74,8
06/07/2025;0300;13,7;77,6
06/07/2025;0400;13,4;79,7
06/07/2025;0500;13,4;81,1
06/07/2025;0600;12,6;82,1
06/07/2025;0700;10,4;83,2
06/07/2025;0800;10,1;84,8
06/07/2025;0900;9,9;86,2
06/07/2025;1000;9,9;87,5
06/07/2025;1100;12,2;88,0
06/07/2025;1200;15,1;87,2
06/07/2025;1300;18,0;84,8
06/07/2025;1400;19,2;78,1
06/07/2025;1500;20,8;69,3
06/07/2025;1600;22,0;61,2
06/07/2025;1700;22,9;55,2
06/07/2025;1800;23,2;52,5
06/07/2025;1900;23,0;50,3
06/07/2025;2000;22,1;50,9
06/07/2025;2100;19,3;57,5
06/07/2025;2200;17,7;63,5
06/07/2025;2300;16,9;67,0
07/07/2025;0000;16,4;68,9
07/07/2025;0100;14,6;71,6
07/07/2025;0200;13,1;76,6
07/07/2025;0300;12,2;80,9
07/07/2025;0400;11,4;83,8
07/07/2025;0500;11,1;85,7
07/07/2025;0600;10,6;87,0
07/07/2025;0700;9,9;88,1
07/07/2025;0800;10,0;89,1
07/07/2025;0900;9,6;89,9
07/07/2025;1000;9,2;90,7
07/07/2025;1100;10,6;90,8
07/07/2025;1200;12,8;90,2
07/07/2025;1300;15,2;89,6
07/07/2025;1400;17,6;87,4
07/07/2025;1500;20,0;82,0
07/07/2025;1600;22,2;72,0
07/07/2025;1700;23,5;59,5
07/07/2025;1800;24,3;50,8
07/07/2025;1900;24,9;45,9
07/07/2025;2000;24,4;45,3
07/07/2025;2100;20,5;53,0
07/07/2025;2200;18,3;61,6
07/07/2025;2300;16,9;66,6
08/07/2025;0000;16,3;70,3
08/07/2025;0100;15,8;72,6
08/07/2025;0200;15,4;73,5
08/07/2025;0300;14,1;73,7
08/07/2025;0400;13,1;76,7
08/07/2025;0500;12,9;79,6
08/07/2025;0600;11,9;81,6
08/07/2025;0700;12,1;83,8
08/07/2025;0800;11,6;86,0
08/07/2025;0900;10,3;87,7
08/07/2025;1000;9,9;89,0
08/07/2025;1100;9,8;90,3
08/07/2025;1200;12,1;91,1
08/07/2025;1300;16,1;91,3
08/07/2025;1400;18,2;91,3
08/07/2025;1500;20,5;87,6
08/07/2025;1600;22,8;78,4
08/07/2025;1700;24,0;63,5
08/07/2025;1800;24,8;53,1
08/07/2025;1900;25,0;49,4
08/07/2025;2000;23,9;50,2
08/07/2025;2100;20,8;58,3
08/07/2025;2200;17,8;67,4
08/07/2025;2300;16,1;72,9
09/07/2025;0000;15,2;76,9
09/07/2025;0100;14,5;79,7
09/07/2025;0200;14,4;81,8
09/07/2025;0300;13,8;83,2
09/07/2025;0400;13,5;84,3
09/07/2025;0500;13,0;85,4
09/07/2025;0600;12,6;86,6
09/07/2025;0700;12,0;87,8
09/07/2025;0800;11,3;89,0
09/07/2025;0900;10,5;90,1
09/07/2025;1000;9,7;91,1
09/07/2025;1100;10,1;91,8
09/07/2025;1200;11,1;92,2
09/07/2025;1300;13,1;92,2
09/07/2025;1400;16,1;91,2
09/07/2025;1500;19,1;87,7
09/07/2025;1600;21,2;79,4
09/07/2025;1700;22,6;66,0
09/07/2025;1800;23,2;55,0
09/07/2025;1900;23,8;50,0
09/07/2025;2000;22,3;50,1
09/07/2025;2100;19,9;55,1
09/07/2025;2200;18,2;61,8
09/07/2025;2300;17,8;65,4
10/07/2025;0000;16,7;68,7
10/07/2025;0100;15,4;73,0
10/07/2025;0200;14,8;77,0
10/07/2025;0300;13,8;80,2
10/07/2025;0400;13,3;82,8
10/07/2025;0500;12,7;85,1
10/07/2025;0600;12,2;86,8
10/07/2025;0700;11,9;88,4
10/07/2025;0800;11,9;89,6
10/07/2025;0900;11,9;90,7
10/07/2025;1000;12,0;91,6
10/07/2025;1100;12,6;92,2
10/07/2025;1200;14,5;92,2
10/07/2025;1300;17,1;90,4
10/07/2025;1400;19,6;86,2
10/07/2025;1500;21,7;76,4
10/07/2025;1600;23,0;61,6
10/07/2025;1700;23,4;52,6
10/07/2025;1800;24,4;48,7
10/07/2025;1900;24,6;45,3
10/07/2025;2000;23,2;46,0
10/07/2025;2100;20,4;51,4
10/07/2025;2200;16,5;62,0
10/07/2025;2300;15,5;69,1
11/07/2025;0000;15,0;73,1
11/07/2025;0100;14,8;75,6
11/07/2025;0200;15,0;76,7
11/07/2025;0300;14,9;77,3
11/07/2025;0400;14,6;78,6
11/07/2025;0500;14,0;80,5
11/07/2025;0600;13,2;83,1
11/07/2025;0700;12,7;85,4
11/07/2025;0800;12,5;87,5
11/07/2025;0900;12,2;89,2
11/07/2025;1000;10,8;90,4
11/07/2025;1100;11,6;90,9
11/07/2025;1200;16,5;90,5
11/07/2025;1300;18,5;89,5
11/07/2025;1400;21,1;84,4
11/07/2025;1500;22,5;73,1
11/07/2025;1600;24,0;58,3
11/07/2025;1700;24,3;47,6
11/07/2025;1800;25,3;43,3
11/07/2025;1900;24,6;42,0
11/07/2025;2000;22,5;47,0
11/07/2025;2100;20,8;53,0
11/07/2025;2200;19,8;58,2
11/07/2025;2300;19,0;61,2
12/07/2025;0000;18,3;64,5
12/07/2025;0100;18,3;65,6
12/07/2025;0200;18,1;67,8
12/07/2025;0300;17,9;67,9
12/07/2025;0400;17,5;68,5
12/07/2025;0500;16,7;71,2
12/07/2025;0600;16,3;73,3
12/07/2025;0700;16,4;75,0
12/07/2025;0800;16,4;75,9
12/07/2025;0900;16,1;76,3
12/07/2025;1000;15,7;77,8
12/07/2025;1100;16,2;78,8
12/07/2025;1200;17,8;78,6
12/07/2025;1300;18,9;74,8
12/07/2025;1400;21,2;70,5
12/07/2025;1500;23,9;60,9
12/07/2025;1600;24,8;47,5
12/07/2025;1700;24,9;43,6
12/07/2025;1800;24,2;43,5
12/07/2025;1900;24,1;41,9
12/07/2025;2000;23,5;41,4
12/07/2025;2100;22,2;45,4
