[2025-10-03 18:50:34] Dispositivo: Pico W_11f0bb, Leitura: 49, Horario: 2025-10-03 18:50:35, Temp: 23.0, Umid: 69.5
[2025-10-03 18:50:55] Dispositivo: Pico W_11f60f, Leitura: 50, Horario: 2025-10-03 18:50:56, Temp: 23.1, Umid: 71.0
[2025-10-03 18:50:57] Dispositivo: Pico W_11f0bb, Leitura: 50, Horario: 2025-10-03 18:50:57, Temp: 23.1, Umid: 69.5
[2025-10-03 18:51:18] Dispositivo: Pico W_11f60f, Leitura: 51, Horario: 2025-10-03 18:51:18, Temp: 23.2, Umid: 70.9
[2025-10-03 18:51:19] Dispositivo: Pico W_11f0bb, Leitura: 51, Horario: 2025-10-03 18:51:19, Temp: 23.0, Umid: 69.6
[2025-10-03 18:51:40] Dispositivo: Pico W_11f60f, Leitura: 52, Horario: 2025-10-03 18:51:41, Temp: 23.2, Umid: 70.9
[2025-10-03 18:51:41] Dispositivo: Pico W_11f0bb, Leitura: 52, Horario: 2025-10-03 18:51:42, Temp: 23.1, Umid: 69.6
[2025-10-03 18:52:02] Dispositivo: Pico W_11f60f, Leitura: 53, Horario: 2025-10-03 18:52:03, Temp: 23.2, Umid: 70.9
[2025-10-03 18:52:03] Dispositivo: Pico W_11f0bb, Leitura: 53, Horario: 2025-10-03 18:52:04, Temp: 23.0, Umid: 69.5
[2025-10-03 18:52:25] Dispositivo: Pico W_11f60f, Leitura: 54, Horario: 2025-10-03 18:52:25, Temp: 23.2, Umid: 70.8
[2025-10-03 18:52:26] Dispositivo: Pico W_11f0bb, Leitura: 54, Horario: 2025-10-03 18:52:26, Temp: 23.1, Umid: 69.3
[2025-10-03 18:52:47] Dispositivo: Pico W_11f60f, Leitura: 55, Horario: 2025-10-03 18:52:47, Temp: 23.3, Umid: 70.7
[2025-10-03 18:52:48] Dispositivo: Pico W_11f0bb, Leitura: 55, Horario: 2025-10-03 18:52:49, Temp: 23.2, Umid: 69.3
[2025-10-03 18:53:09] Dispositivo: Pico W_11f60f, Leitura: 56, Horario: 2025-10-03 18:53:10, Temp: 23.3, Umid: 70.6
[2025-10-03 18:53:10] Dispositivo: Pico W_11f0bb, Leitura: 56, Horario: 2025-10-03 18:53:11, Temp: 23.2, Umid: 69.3
[2025-10-03 18:53:32] Dispositivo: Pico W_11f60f, Leitura: 57, Horario: 2025-10-03 18:53:32, Temp: 23.3, Umid: 70.5
[2025-10-03 18:53:33] Dispositivo: Pico W_11f0bb, Leitura: 57, Horario: 2025-10-03 18:53:33, Temp: 23.2, Umid: 69.2
[2025-10-03 18:53:54] Dispositivo: Pico W_11f60f, Leitura: 58, Horario: 2025-10-03 18:53:54, Temp: 23.3, Umid: 70.3
[2025-10-03 18:53:55] Dispositivo: Pico W_11f0bb, Leitura: 58, Horario: 2025-10-03 18:53:56, Temp: 23.2, Umid: 69.1
[2025-10-03 18:54:16] Dispositivo: Pico W_11f60f, Leitura: 59, Horario: 2025-10-03 18:54:17, Temp: 23.3, Umid: 70.4
[2025-10-03 18:54:17] Dispositivo: Pico W_11f0bb, Leitura: 59, Horario: 2025-10-03 18:54:18, Temp: 23.2, Umid: 69.1
[2025-10-03 18:54:38] Dispositivo: Pico W_11f60f, Leitura: 60, Horario: 2025-10-03 18:54:39, Temp: 23.3, Umid: 70.4
[2025-10-03 18:54:40] Dispositivo: Pico W_11f0bb, Leitura: 60, Horario: 2025-10-03 18:54:40, Temp: 23.2, Umid: 69.1
[2025-10-03 18:55:01] Dispositivo: Pico W_11f60f, Leitura: 61, Horario: 2025-10-03 18:55:01, Temp: 23.2, Umid: 70.4
[2025-10-03 18:55:02] Dispositivo: Pico W_11f0bb, Leitura: 61, Horario: 2025-10-03 18:55:03, Temp: 23.1, Umid: 69.1
[2025-10-03 18:55:23] Dispositivo: Pico W_11f60f, Leitura: 62, Horario: 2025-10-03 18:55:24, Temp: 23.2, Umid: 70.5
[2025-10-03 18:55:24] Dispositivo: Pico W_11f0bb, Leitura: 62, Horario: 2025-10-03 18:55:25, Temp: 23.1, Umid: 69.2
[2025-10-03 18:55:45] Dispositivo: Pico W_11f60f, Leitura: 63, Horario: 2025-10-03 18:55:46, Temp: 23.2, Umid: 70.8
