Leitura;Data;Hora;Temperatura(C);Umidade(%)
238;03/10/2025;19:50:30;22.4;69.9
239;03/10/2025;19:50:50;22.4;70
240;03/10/2025;19:51:10;22.4;70
241;03/10/2025;19:51:30;22.3;70
242;03/10/2025;19:51:50;22.3;70.2
243;03/10/2025;19:52:10;22.3;70.2
244;03/10/2025;19:52:30;22.3;70.2
245;03/10/2025;19:52:50;22.3;70.2
246;03/10/2025;19:53:10;22.4;70.2
247;03/10/2025;19:53:30;22.4;70.2
248;03/10/2025;19:53:50;22.4;70.2
249;03/10/2025;19:54:10;22.4;70.1
250;03/10/2025;19:54:30;22.4;70.2
251;03/10/2025;19:54:50;22.4;70.2
252;03/10/2025;19:55:10;22.4;70.2
253;03/10/2025;19:55:30;22.4;70.2
254;03/10/2025;19:55:50;22.4;70.3
255;03/10/2025;19:56:10;22.4;70.2
256;03/10/2025;19:56:30;22.4;70.2
257;03/10/2025;19:56:50;22.4;70.2
258;03/10/2025;19:57:10;22.4;70.3
259;03/10/2025;19:57:30;22.4;70.2
260;03/10/2025;19:57:50;22.4;70.2
261;03/10/2025;19:58:10;22.4;70
262;03/10/2025;19:58:30;22.3;70.1
263;03/10/2025;19:58:50;22.4;70.1
264;03/10/2025;19:59:10;22.4;70.1
265;03/10/2025;19:59:30;22.4;70.1
266;03/10/2025;19:59:50;22.3;70.1
267;03/10/2025;20:00:10;22.4;70
268;03/10/2025;20:00:30;22.4;70
269;03/10/2025;20:00:50;22.4;70
270;03/10/2025;20:01:10;22.4;69.9
271;03/10/2025;20:01:30;22.4;69.9
272;03/10/2025;20:01:50;22.4;70
273;03/10/2025;20:02:10;22.4;69.9
274;03/10/2025;20:02:30;22.4;69.9
275;03/10/2025;20:02:50;22.4;69.7
276;03/10/2025;20:03:10;22.4;69.8
277;03/10/2025;20:03:30;22.5;69.9
278;03/10/2025;20:03:50;22.5;69.7
279;03/10/2025;20:04:10;22.5;69.5
280;03/10/2025;20:04:30;22.5;69.4
281;03/10/2025;20:04:50;22.4;69.4
282;03/10/2025;20:05:10;22.4;69.5
