[2025-09-30 14:26:13] Dispositivo: Pico W_11f0bb, Leitura: 39, Horario: 2025-09-30 14:26:14, Temp: 37.9, Umid: 26.0
[2025-09-30 14:26:49] Dispositivo: Pico W_11f60f, Leitura: 1, Horario: 2025-09-30 14:26:50, Temp: 34.2, Umid: 26.9
[2025-09-30 14:29:15] Dispositivo: Pico W_11f0bb, Leitura: 40, Horario: 2025-09-30 14:29:16, Temp: 37.6, Umid: 25.6
[2025-09-30 14:29:51] Dispositivo: Pico W_11f60f, Leitura: 2, Horario: 2025-09-30 14:29:52, Temp: 34.3, Umid: 27.0
[2025-09-30 14:32:18] Dispositivo: Pico W_11f0bb, Leitura: 41, Horario: 2025-09-30 14:32:18, Temp: 37.5, Umid: 25.7
[2025-09-30 14:32:18] Dispositivo: Pico W_11f60f, Leitura: 1, Horario: 2025-09-30 14:32:18, Temp: 34.3, Umid: 27.9
[2025-09-30 14:33:55] Dispositivo: Pico W_11f60f, Leitura: 1, Horario: 2025-09-30 14:33:55, Temp: 34.6, Umid: 29.0
[2025-09-30 14:35:20] Dispositivo: Pico W_11f0bb, Leitura: 42, Horario: 2025-09-30 14:35:21, Temp: 36.7, Umid: 26.3
[2025-09-30 14:36:57] Dispositivo: Pico W_11f60f, Leitura: 2, Horario: 2025-09-30 14:36:57, Temp: 34.6, Umid: 27.6
[2025-09-30 14:38:22] Dispositivo: Pico W_11f0bb, Leitura: 43, Horario: 2025-09-30 14:38:23, Temp: 36.6, Umid: 26.4
[2025-09-30 14:40:31] Dispositivo: Pico W_11f60f, Leitura: 1, Horario: 2025-09-30 14:40:30, Temp: 34.9, Umid: 26.6
[2025-09-30 14:41:25] Dispositivo: Pico W_11f0bb, Leitura: 44, Horario: 2025-09-30 14:41:25, Temp: 37.0, Umid: 26.8
[2025-09-30 14:43:33] Dispositivo: Pico W_11f60f, Leitura: 2, Horario: 2025-09-30 14:43:33, Temp: 35.1, Umid: 27.7
