[2025-09-30 21:43:01] Dispositivo: Pico W_11f0bb, Leitura: 33, Horario: 2025-09-30 21:43:01, Temp: 28.1, Umid: 42.8
[2025-09-30 21:44:10] Dispositivo: Pico W_11f60f, Leitura: 29, Horario: 2025-09-30 21:44:11, Temp: 28.7, Umid: 40.6
[2025-09-30 21:46:03] Dispositivo: Pico W_11f0bb, Leitura: 34, Horario: 2025-09-30 21:46:03, Temp: 28.3, Umid: 43.4
[2025-09-30 21:47:12] Dispositivo: Pico W_11f60f, Leitura: 30, Horario: 2025-09-30 21:47:13, Temp: 28.6, Umid: 40.8
[2025-09-30 21:49:06] Dispositivo: Pico W_11f0bb, Leitura: 35, Horario: 2025-09-30 21:49:06, Temp: 28.0, Umid: 43.5
[2025-09-30 21:50:14] Dispositivo: Pico W_11f60f, Leitura: 31, Horario: 2025-09-30 21:50:15, Temp: 28.5, Umid: 40.6
[2025-09-30 21:52:08] Dispositivo: Pico W_11f0bb, Leitura: 36, Horario: 2025-09-30 21:52:08, Temp: 28.0, Umid: 41.3
[2025-09-30 21:53:17] Dispositivo: Pico W_11f60f, Leitura: 32, Horario: 2025-09-30 21:53:18, Temp: 28.3, Umid: 40.4
[2025-09-30 21:55:10] Dispositivo: Pico W_11f0bb, Leitura: 37, Horario: 2025-09-30 21:55:10, Temp: 27.9, Umid: 41.8
[2025-09-30 21:56:19] Dispositivo: Pico W_11f60f, Leitura: 33, Horario: 2025-09-30 21:56:20, Temp: 28.2, Umid: 40.3
[2025-09-30 21:58:12] Dispositivo: Pico W_11f0bb, Leitura: 38, Horario: 2025-09-30 21:58:12, Temp: 27.9, Umid: 41.8
[2025-09-30 21:59:21] Dispositivo: Pico W_11f60f, Leitura: 34, Horario: 2025-09-30 21:59:22, Temp: 28.2, Umid: 40.8
[2025-09-30 22:01:15] Dispositivo: Pico W_11f0bb, Leitura: 39, Horario: 2025-09-30 22:01:15, Temp: 27.8, Umid: 43.6
[2025-09-30 22:02:24] Dispositivo: Pico W_11f60f, Leitura: 35, Horario: 2025-09-30 22:02:24, Temp: 28.1, Umid: 42.5
