[2025-10-01 10:27:44] Dispositivo: Pico W_11f0bb, Leitura: 34, Horario: 2025-10-01 10:27:45, Temp: 42.5, Umid: 27.6
[2025-10-01 10:30:28] Dispositivo: Pico W_11f60f, Leitura: 35, Horario: 2025-10-01 10:30:29, Temp: 37.7, Umid: 30.8
[2025-10-01 10:30:46] Dispositivo: Pico W_11f0bb, Leitura: 35, Horario: 2025-10-01 10:30:47, Temp: 41.1, Umid: 28.5
[2025-10-01 10:33:30] Dispositivo: Pico W_11f60f, Leitura: 36, Horario: 2025-10-01 10:33:31, Temp: 36.7, Umid: 32.0
[2025-10-01 10:33:49] Dispositivo: Pico W_11f0bb, Leitura: 36, Horario: 2025-10-01 10:33:49, Temp: 38.7, Umid: 31.0
[2025-10-01 10:36:33] Dispositivo: Pico W_11f60f, Leitura: 37, Horario: 2025-10-01 10:36:33, Temp: 35.9, Umid: 33.1
[2025-10-01 10:36:51] Dispositivo: Pico W_11f0bb, Leitura: 37, Horario: 2025-10-01 10:36:51, Temp: 37.5, Umid: 32.7
[2025-10-01 10:39:35] Dispositivo: Pico W_11f60f, Leitura: 38, Horario: 2025-10-01 10:39:36, Temp: 35.6, Umid: 33.4
[2025-10-01 10:39:53] Dispositivo: Pico W_11f0bb, Leitura: 38, Horario: 2025-10-01 10:39:54, Temp: 37.0, Umid: 33.2
[2025-10-01 10:42:37] Dispositivo: Pico W_11f60f, Leitura: 39, Horario: 2025-10-01 10:42:38, Temp: 34.7, Umid: 34.8
[2025-10-01 10:42:56] Dispositivo: Pico W_11f0bb, Leitura: 39, Horario: 2025-10-01 10:42:56, Temp: 36.2, Umid: 34.3
[2025-10-01 10:45:40] Dispositivo: Pico W_11f60f, Leitura: 40, Horario: 2025-10-01 10:45:40, Temp: 34.4, Umid: 35.5
[2025-10-01 10:45:58] Dispositivo: Pico W_11f0bb, Leitura: 40, Horario: 2025-10-01 10:45:58, Temp: 35.1, Umid: 35.6
[2025-10-01 10:48:42] Dispositivo: Pico W_11f60f, Leitura: 41, Horario: 2025-10-01 10:48:42, Temp: 33.4, Umid: 37.0
