[2025-10-02 09:57:30] Dispositivo: Pico W_11f60f, Leitura: 48, Horario: 2025-10-02 09:57:30, Temp: 22.9, Umid: 64.8
[2025-10-02 09:57:33] Dispositivo: Pico W_11f0bb, Leitura: 37, Horario: 2025-10-02 09:57:33, Temp: 25.7, Umid: 54.8
[2025-10-02 09:57:52] Dispositivo: Pico W_11f60f, Leitura: 49, Horario: 2025-10-02 09:57:53, Temp: 22.9, Umid: 65.0
[2025-10-02 09:58:15] Dispositivo: Pico W_11f60f, Leitura: 50, Horario: 2025-10-02 09:58:15, Temp: 22.9, Umid: 65.0
[2025-10-02 09:58:37] Dispositivo: Pico W_11f60f, Leitura: 51, Horario: 2025-10-02 09:58:37, Temp: 22.9, Umid: 64.9
[2025-10-02 09:58:59] Dispositivo: Pico W_11f60f, Leitura: 52, Horario: 2025-10-02 09:59:00, Temp: 22.9, Umid: 64.8
[2025-10-02 09:59:22] Dispositivo: Pico W_11f60f, Leitura: 53, Horario: 2025-10-02 09:59:22, Temp: 22.9, Umid: 64.7
[2025-10-02 09:59:44] Dispositivo: Pico W_11f60f, Leitura: 54, Horario: 2025-10-02 09:59:44, Temp: 22.9, Umid: 64.8
[2025-10-02 10:00:06] Dispositivo: Pico W_11f60f, Leitura: 55, Horario: 2025-10-02 10:00:07, Temp: 22.9, Umid: 64.8
[2025-10-02 10:00:28] Dispositivo: Pico W_11f60f, Leitura: 56, Horario: 2025-10-02 10:00:29, Temp: 22.9, Umid: 64.7
[2025-10-02 10:00:35] Dispositivo: Pico W_11f0bb, Leitura: 38, Horario: 2025-10-02 10:00:35, Temp: 25.7, Umid: 55.1
[2025-10-02 10:00:51] Dispositivo: Pico W_11f60f, Leitura: 57, Horario: 2025-10-02 10:00:51, Temp: 22.9, Umid: 64.7
[2025-10-02 10:01:14] Dispositivo: Pico W_11f60f, Leitura: 58, Horario: 2025-10-02 10:01:14, Temp: 22.9, Umid: 64.5
[2025-10-02 10:01:35] Dispositivo: Pico W_11f60f, Leitura: 59, Horario: 2025-10-02 10:01:36, Temp: 22.9, Umid: 64.3
[2025-10-02 10:01:58] Dispositivo: Pico W_11f60f, Leitura: 60, Horario: 2025-10-02 10:01:58, Temp: 22.9, Umid: 64.5
[2025-10-02 10:02:20] Dispositivo: Pico W_11f60f, Leitura: 61, Horario: 2025-10-02 10:02:20, Temp: 22.9, Umid: 64.6
[2025-10-02 10:02:42] Dispositivo: Pico W_11f60f, Leitura: 62, Horario: 2025-10-02 10:02:43, Temp: 23.0, Umid: 64.8
[2025-10-02 10:03:05] Dispositivo: Pico W_11f60f, Leitura: 63, Horario: 2025-10-02 10:03:05, Temp: 23.0, Umid: 64.7
[2025-10-02 10:03:27] Dispositivo: Pico W_11f60f, Leitura: 64, Horario: 2025-10-02 10:03:27, Temp: 23.0, Umid: 64.4
[2025-10-02 10:03:37] Dispositivo: Pico W_11f0bb, Leitura: 39, Horario: 2025-10-02 10:03:38, Temp: 25.7, Umid: 55.1
