Leitura,Horario,Temperatura(C),Umidade(%),Dispositivo
292,2025-10-26 14:08:15,40.5,21.4,Pico W_11f0bb
293,2025-10-26 14:08:38,40.5,21.0,Pico W_11f0bb
294,2025-10-26 14:09:00,40.4,21.6,Pico W_11f0bb
295,2025-10-26 14:09:22,40.4,21.1,Pico W_11f0bb
296,2025-10-26 14:09:45,40.1,21.3,Pico W_11f0bb
297,2025-10-26 14:10:07,40.0,21.6,Pico W_11f0bb
298,2025-10-26 14:10:29,39.9,21.6,Pico W_11f0bb
299,2025-10-26 14:10:52,39.9,21.8,Pico W_11f0bb
300,2025-10-26 14:11:14,39.7,22.1,Pico W_11f0bb
301,2025-10-26 14:11:36,39.5,22.0,Pico W_11f0bb
302,2025-10-26 14:11:59,39.5,22.0,Pico W_11f0bb
303,2025-10-26 14:12:21,39.5,21.8,Pico W_11f0bb
304,2025-10-26 14:12:43,39.3,21.6,Pico W_11f0bb
305,2025-10-26 14:13:06,39.6,21.8,Pico W_11f0bb
306,2025-10-26 14:13:28,39.5,21.5,Pico W_11f0bb
307,2025-10-26 14:13:51,39.1,22.0,Pico W_11f0bb
308,2025-10-26 14:14:13,39.4,22.0,Pico W_11f0bb
309,2025-10-26 14:14:35,39.2,22.3,Pico W_11f0bb
310,2025-10-26 14:14:58,39.2,22.1,Pico W_11f0bb
311,2025-10-26 14:15:20,39.4,22.3,Pico W_11f0bb
312,2025-10-26 14:15:42,39.6,23.3,Pico W_11f0bb
313,2025-10-26 14:16:05,39.7,22.3,Pico W_11f0bb
314,2025-10-26 14:16:27,39.8,22.5,Pico W_11f0bb
315,2025-10-26 14:16:49,40.0,22.3,Pico W_11f0bb
316,2025-10-26 14:17:12,39.9,21.9,Pico W_11f0bb
317,2025-10-26 14:17:34,39.1,21.8,Pico W_11f0bb
318,2025-10-26 14:17:56,38.7,22.5,Pico W_11f0bb
319,2025-10-26 14:18:19,38.4,22.3,Pico W_11f0bb
320,2025-10-26 14:18:41,37.8,22.6,Pico W_11f0bb
321,2025-10-26 14:19:03,37.4,22.9,Pico W_11f0bb
322,2025-10-26 14:19:26,37.2,23.0,Pico W_11f0bb
323,2025-10-26 14:19:48,37.8,22.8,Pico W_11f0bb
324,2025-10-26 14:20:11,38.3,22.2,Pico W_11f0bb
325,2025-10-26 14:20:33,39.1,22.3,Pico W_11f0bb
326,2025-10-26 14:20:55,39.5,22.1,Pico W_11f0bb
327,2025-10-26 14:21:18,39.9,22.3,Pico W_11f0bb
328,2025-10-26 14:21:40,40.1,21.5,Pico W_11f0bb
329,2025-10-26 14:22:02,40.1,21.1,Pico W_11f0bb
330,2025-10-26 14:22:25,40.1,21.0,Pico W_11f0bb
331,2025-10-26 14:22:47,40.1,20.9,Pico W_11f0bb
332,2025-10-26 14:23:09,40.4,21.7,Pico W_11f0bb
333,2025-10-26 14:23:32,40.9,20.9,Pico W_11f0bb
334,2025-10-26 14:23:54,40.9,20.9,Pico W_11f0bb
335,2025-10-26 14:24:16,40.3,21.2,Pico W_11f0bb
336,2025-10-26 14:24:39,39.5,21.3,Pico W_11f0bb
337,2025-10-26 14:25:01,39.0,21.9,Pico W_11f0bb
338,2025-10-26 14:25:23,38.6,22.3,Pico W_11f0bb
339,2025-10-26 14:25:46,38.8,22.0,Pico W_11f0bb
340,2025-10-26 14:26:08,39.3,21.9,Pico W_11f0bb
341,2025-10-26 14:26:31,39.8,21.3,Pico W_11f0bb
342,2025-10-26 14:26:53,40.0,21.0,Pico W_11f0bb
343,2025-10-26 14:27:15,40.4,21.0,Pico W_11f0bb
344,2025-10-26 14:27:38,40.6,20.3,Pico W_11f0bb
345,2025-10-26 14:28:00,40.7,20.0,Pico W_11f0bb
346,2025-10-26 14:28:22,41.0,20.1,Pico W_11f0bb
347,2025-10-26 14:28:45,40.9,20.1,Pico W_11f0bb
348,2025-10-26 14:29:07,41.0,20.2,Pico W_11f0bb
349,2025-10-26 14:29:29,41.0,20.2,Pico W_11f0bb
350,2025-10-26 14:29:52,40.8,20.3,Pico W_11f0bb
351,2025-10-26 14:30:14,40.7,20.0,Pico W_11f0bb
352,2025-10-26 14:30:36,40.8,20.1,Pico W_11f0bb
353,2025-10-26 14:30:59,41.1,20.3,Pico W_11f0bb
354,2025-10-26 14:31:21,41.3,20.6,Pico W_11f0bb
355,2025-10-26 14:31:43,41.0,20.0,Pico W_11f0bb
356,2025-10-26 14:32:06,41.0,20.8,Pico W_11f0bb
357,2025-10-26 14:32:28,40.8,20.4,Pico W_11f0bb
358,2025-10-26 14:32:51,41.0,20.9,Pico W_11f0bb
359,2025-10-26 14:33:13,40.9,20.6,Pico W_11f0bb
360,2025-10-26 14:33:35,40.9,20.7,Pico W_11f0bb
361,2025-10-26 14:33:58,40.7,20.5,Pico W_11f0bb
362,2025-10-26 14:34:20,40.6,21.0,Pico W_11f0bb
363,2025-10-26 14:34:42,40.3,20.9,Pico W_11f0bb
364,2025-10-26 14:35:05,40.2,21.5,Pico W_11f0bb
365,2025-10-26 14:35:27,40.5,21.2,Pico W_11f0bb
366,2025-10-26 14:35:49,40.5,20.6,Pico W_11f0bb
367,2025-10-26 14:36:12,40.3,21.2,Pico W_11f0bb
368,2025-10-26 14:36:34,39.4,20.8,Pico W_11f0bb
369,2025-10-26 14:36:56,38.9,21.1,Pico W_11f0bb
370,2025-10-26 14:37:19,38.9,21.5,Pico W_11f0bb
371,2025-10-26 14:37:41,39.2,21.6,Pico W_11f0bb
372,2025-10-26 14:38:03,39.5,21.2,Pico W_11f0bb
373,2025-10-26 14:38:26,39.8,21.4,Pico W_11f0bb
374,2025-10-26 14:38:48,39.6,21.0,Pico W_11f0bb
375,2025-10-26 14:39:10,39.6,21.1,Pico W_11f0bb
376,2025-10-26 14:39:33,40.0,21.1,Pico W_11f0bb
377,2025-10-26 14:39:55,40.4,20.8,Pico W_11f0bb
378,2025-10-26 14:40:18,40.9,21.1,Pico W_11f0bb
379,2025-10-26 14:40:40,41.0,20.3,Pico W_11f0bb
380,2025-10-26 14:41:02,40.9,20.4,Pico W_11f0bb
381,2025-10-26 14:41:25,40.6,20.1,Pico W_11f0bb
382,2025-10-26 14:41:47,40.8,20.0,Pico W_11f0bb
383,2025-10-26 14:42:09,41.0,20.0,Pico W_11f0bb
384,2025-10-26 14:42:32,41.2,19.7,Pico W_11f0bb
385,2025-10-26 14:42:54,41.4,19.8,Pico W_11f0bb
386,2025-10-26 14:43:16,41.5,19.6,Pico W_11f0bb
387,2025-10-26 14:43:39,41.7,19.5,Pico W_11f0bb
388,2025-10-26 14:44:01,41.4,20.2,Pico W_11f0bb
389,2025-10-26 14:44:23,41.1,20.0,Pico W_11f0bb
390,2025-10-26 14:44:46,40.8,19.9,Pico W_11f0bb
391,2025-10-26 14:45:08,40.8,19.8,Pico W_11f0bb
392,2025-10-26 14:45:30,40.8,19.9,Pico W_11f0bb
393,2025-10-26 14:45:53,40.6,20.0,Pico W_11f0bb
394,2025-10-26 14:46:15,40.5,20.1,Pico W_11f0bb
395,2025-10-26 14:46:38,40.1,20.8,Pico W_11f0bb
396,2025-10-26 14:47:00,39.7,21.7,Pico W_11f0bb
397,2025-10-26 14:47:22,39.4,21.4,Pico W_11f0bb
398,2025-10-26 14:47:45,39.1,21.6,Pico W_11f0bb
399,2025-10-26 14:48:07,39.0,22.4,Pico W_11f0bb
400,2025-10-26 14:48:29,38.7,21.9,Pico W_11f0bb
401,2025-10-26 14:48:52,38.3,22.2,Pico W_11f0bb
402,2025-10-26 14:49:14,38.2,22.7,Pico W_11f0bb
403,2025-10-26 14:49:36,38.5,22.2,Pico W_11f0bb
404,2025-10-26 14:49:59,38.4,21.9,Pico W_11f0bb
405,2025-10-26 14:50:21,38.2,22.5,Pico W_11f0bb
406,2025-10-26 14:50:43,38.0,22.4,Pico W_11f0bb
407,2025-10-26 14:51:06,37.7,22.7,Pico W_11f0bb
408,2025-10-26 14:51:28,37.6,22.5,Pico W_11f0bb
409,2025-10-26 14:51:50,37.5,22.4,Pico W_11f0bb
410,2025-10-26 14:52:13,37.3,22.3,Pico W_11f0bb
411,2025-10-26 14:52:35,37.2,22.5,Pico W_11f0bb
412,2025-10-26 14:52:58,37.5,22.7,Pico W_11f0bb
413,2025-10-26 14:53:20,37.4,22.6,Pico W_11f0bb
