Contagem;Dispositivo;Data_Hora_Coleta;Temperatura_C;Umidade_%
74;Pico W_F0BB;2021-01-01 00:24:47;22.40;71.90
75;Pico W_F0BB;2021-01-01 00:25:08;22.50;72.40
76;Pico W_F0BB;2021-01-01 00:25:28;22.50;71.90
77;Pico W_F0BB;2021-01-01 00:25:48;22.60;71.60
78;Pico W_F0BB;2021-01-01 00:26:08;22.60;71.90
79;Pico W_F0BB;2021-01-01 00:26:29;22.60;71.90
80;Pico W_F0BB;2021-01-01 00:26:49;22.60;71.40
81;Pico W_F0BB;2021-01-01 00:27:09;22.70;71.10
82;Pico W_F0BB;2021-01-01 00:27:30;22.70;71.20
83;Pico W_F0BB;2021-01-01 00:27:50;22.70;71.20
84;Pico W_F0BB;2021-01-01 00:28:10;22.70;70.90
85;Pico W_F0BB;2021-01-01 00:28:31;22.70;70.40
86;Pico W_F0BB;2021-01-01 00:28:51;22.70;71.30
87;Pico W_F0BB;2021-01-01 00:29:11;22.80;71.40
88;Pico W_F0BB;2021-01-01 00:29:32;22.70;70.80
89;Pico W_F0BB;2021-01-01 00:29:52;22.80;72.00
90;Pico W_F0BB;2021-01-01 00:30:12;22.80;72.80
91;Pico W_F0BB;2021-01-01 00:30:32;22.80;71.60
92;Pico W_F0BB;2021-01-01 00:30:53;22.80;72.50
93;Pico W_F0BB;2021-01-01 00:31:13;22.80;72.70
94;Pico W_F0BB;2021-01-01 00:31:33;22.80;73.60
95;Pico W_F0BB;2021-01-01 00:31:54;22.90;73.20
96;Pico W_F0BB;2021-01-01 00:32:14;22.90;73.60
97;Pico W_F0BB;2021-01-01 00:32:34;22.90;73.30
98;Pico W_F0BB;2021-01-01 00:32:55;22.90;73.50
99;Pico W_F0BB;2021-01-01 00:33:15;22.90;72.80
100;Pico W_F0BB;2021-01-01 00:33:35;22.90;72.90
101;Pico W_F0BB;2021-01-01 00:33:55;22.90;73.20
102;Pico W_F0BB;2021-01-01 00:34:16;22.90;72.00
103;Pico W_F0BB;2021-01-01 00:34:36;22.90;71.90
104;Pico W_F0BB;2021-01-01 00:34:56;22.90;72.20
105;Pico W_F0BB;2021-01-01 00:35:17;22.90;71.90
106;Pico W_F0BB;2021-01-01 00:35:37;22.90;71.60
107;Pico W_F0BB;2021-01-01 00:35:57;22.90;71.50
108;Pico W_F0BB;2021-01-01 00:36:18;22.90;71.10
109;Pico W_F0BB;2021-01-01 00:36:38;22.80;70.50
110;Pico W_F0BB;2021-01-01 00:36:58;22.80;70.10
111;Pico W_F0BB;2021-01-01 00:37:19;22.80;70.40
112;Pico W_F0BB;2021-01-01 00:37:39;22.80;70.50
113;Pico W_F0BB;2021-01-01 00:37:59;22.70;70.60
114;Pico W_F0BB;2021-01-01 00:38:19;22.70;71.30
118;Pico W_F0BB;2021-01-01 00:39:41;22.50;71.00
119;Pico W_F0BB;2021-01-01 00:40:01;22.50;70.80
120;Pico W_F0BB;2021-01-01 00:40:21;22.50;70.70
121;Pico W_F0BB;2021-01-01 00:40:42;22.50;70.40
122;Pico W_F0BB;2021-01-01 00:41:02;22.50;70.20
123;Pico W_F0BB;2021-01-01 00:41:22;22.50;70.10
124;Pico W_F0BB;2021-01-01 00:41:42;22.50;70.00
125;Pico W_F0BB;2021-01-01 00:42:03;22.50;70.10
126;Pico W_F0BB;2021-01-01 00:42:23;22.50;70.20
127;Pico W_F0BB;2021-01-01 00:42:43;22.50;70.30
128;Pico W_F0BB;2021-01-01 00:43:04;22.50;70.60
129;Pico W_F0BB;2021-01-01 00:43:24;22.50;70.50
130;Pico W_F0BB;2021-01-01 00:43:44;22.50;70.60
131;Pico W_F0BB;2021-01-01 00:44:05;22.50;71.40
132;Pico W_F0BB;2021-01-01 00:44:25;22.50;71.60
133;Pico W_F0BB;2021-01-01 00:44:45;22.40;72.80
134;Pico W_F0BB;2021-01-01 00:45:06;22.40;73.40
135;Pico W_F0BB;2021-01-01 00:45:26;22.40;73.70
136;Pico W_F0BB;2021-01-01 00:45:46;22.30;73.40
137;Pico W_F0BB;2021-01-01 00:46:06;22.30;73.60
138;Pico W_F0BB;2021-01-01 00:46:27;22.30;73.90
139;Pico W_F0BB;2021-01-01 00:46:47;22.30;73.80
140;Pico W_F0BB;2021-01-01 00:47:07;22.30;73.80
141;Pico W_F0BB;2021-01-01 00:47:28;22.30;74.40
142;Pico W_F0BB;2021-01-01 00:47:48;22.30;74.70
143;Pico W_F0BB;2021-01-01 00:48:08;22.20;75.40
144;Pico W_F0BB;2021-01-01 00:48:29;22.20;74.70
145;Pico W_F0BB;2021-01-01 00:48:49;22.20;74.10
146;Pico W_F0BB;2021-01-01 00:49:09;22.20;73.60
